PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S)
Cauda equina syndrome,Cauda equina syndrome,Good,EFO_0007196
Causalgia,causalgia,Good,EFO_1000854
Cerebral cysts,Pancreatic cysts,Medium,HP_0001737
Cerebral cysts,Hepatic cysts,Medium,HP_0001407
Cervical root disorders,communication disorder,Medium,MONDO_0002182
Cervical root disorders,perceptual disorders,Medium,MONDO_0024417
Cerebral palsy,cerebral palsy,Good,EFO_1000632
Cerebral palsy and other paralytic syndromes,N/A,Did not map,N/A
Other and unspecified degenerative diseases of nervous system,respiratory system disease,Medium,EFO_0000684
Other and unspecified degenerative diseases of nervous system,cardiovascular disease,Medium,EFO_0000319
Demyelenating diseases of the central nervous system,autoimmune disease of the nervous system,Medium,MONDO_0002977
Demyelenating diseases of the central nervous system,central nervous system hemangioma,Medium,MONDO_0003241
Diabethic neuropathy,neuropathy,Medium,EFO_0004149
Diabethic neuropathy,sciatic neuropathy,Medium,EFO_1001166
"Disorders of brain, other and unspecified",glaucoma,Medium,EFO_0000516
"Disorders of brain, other and unspecified",schizophrenia,Medium,EFO_0000692
Dystonia,Dystonia,Medium,HP_0001332
Dystonia,dystonic disorder,Medium,MONDO_0003441
Other encephalitis,Japanese encephalitis,Good,EFO_0007332
Episodal and paroxysmal disorders,N/A,Did not map,N/A
Epilepsy,epilepsy,Good,EFO_0000474
Other facial nerve disorders,facial neuralgia,Medium,EFO_0009380
Other facial nerve disorders,Bell's palsy,Medium,EFO_0007167
Lesion of lateral popliteal nerve,lesion of sciatic nerve,Medium,MONDO_0001543
Lesion of lateral popliteal nerve,lumbosacral plexus lesion,Medium,MONDO_0001829
Guillain-Barre syndrome,Guillain-Barre syndrome,Good,EFO_0007292
Communicating hydrocephalus,communicating hydrocephalus,Good,MONDO_0002045
Normal-pressure hydrocephalus,normal pressure hydrocephalus,Good,EFO_1001065
Obstructive hydrocephalus,communicating hydrocephalus,Medium,MONDO_0002045
Obstructive hydrocephalus,Congenital non-communicating hydrocephalus,Medium,Orphanet_269510
Other and unspecified hydrocephalus,anthrax infection,Medium,EFO_0000778
Other and unspecified hydrocephalus,schizophrenia,Medium,EFO_0000692
Other headache syndromes,Other immunodeficiency syndromes due to defects in innate immunity,Medium,Orphanet_331193
Other headache syndromes,Headache,Medium,HP_0002315
Hemiplegia,hemiplegia,Good,EFO_0009453
Hereditary ataxia,hereditary ataxia,Good,EFO_0009671
Horner syndrome,Congenital Horner syndrome,Medium,Orphanet_91413
Horner syndrome,Dubowitz syndrome,Medium,Orphanet_235
Hydrocephalus,Hydrocephalus,Good,HP_0000238
"Lumbosacral root disorders, not elsewhere classified",immune system disease,Medium,EFO_0000540
"Lumbosacral root disorders, not elsewhere classified",digestive system disease,Medium,EFO_0000405
Other lesions of median nerve,femoral neuropathy,Good,EFO_1000936
Bacterial meningitis,bacterial meningitis,Good,EFO_1000831
Other meningitis,viral meningitis,Medium,EFO_1001236
Other meningitis,meningococcal meningitis,Medium,EFO_1001040
Meralgia paraesthetica,meralgia paresthetica,Good,MONDO_0023757
Migraine,migraine disorder,Good,EFO_0003821
Migraine without aura,migraine without aura,Good,EFO_0005296
Migraine with aura,migraine with aura,Good,EFO_0005295
Other and unspecified mononeuropathies of lower limb,cutaneous melanoma,Medium,EFO_0000389
Other and unspecified mononeuropathies of lower limb,lip cancer,Medium,EFO_1001019
Other and unspecified mononeuropathies of upper limb,cutaneous melanoma,Medium,EFO_0000389
Other and unspecified mononeuropathies of upper limb,lip cancer,Medium,EFO_1001019
"Other and unsepcified mononeuropathies, also in other diseases",N/A,Did not map,N/A
Monoplegia,N/A,Did not map,N/A
MS-disease / Multiple Sclerosis,multiple sclerosis,Medium,EFO_0003885
MS-disease / Multiple Sclerosis,secondary progressive multiple sclerosis,Medium,EFO_0008522
Myasthenia gravis,Myasthenia gravis,Good,EFO_0004991
Diseases of the myoneural junction and muscle,N/A,Did not map,N/A
Other and unspecified myopathies,anthrax infection,Medium,EFO_0000778
Other and unspecified myopathies,schizophrenia,Medium,EFO_0000692
"Nerve, nerve root and plexus disorders",N/A,Did not map,N/A
Systemic atrophies primarly affecting the central nervous system,Atrophy/Degeneration affecting the central nervous system,Medium,HP_0007367
Systemic atrophies primarly affecting the central nervous system,central nervous system hemangioma,Medium,MONDO_0003241
Inflammatory diseases of the central nervous system,autoimmune disease of the nervous system,Medium,MONDO_0002977
Inflammatory diseases of the central nervous system,central nervous system hemangioma,Medium,MONDO_0003241
Neurological diseases,Rare genetic neurological disorder,Medium,Orphanet_71859
Neurological diseases,nervous system,Medium,UBERON_0001016
Other degenerative diseases of the nervous system,neurodegenerative disease,Good,EFO_0005772
Other disorders of nervous system,peripheral nervous system disease,Good,EFO_0009387
Other demyelinating diseases of the central nervous system,autoimmune disease of the nervous system,Medium,MONDO_0002977
Other demyelinating diseases of the central nervous system,central nervous system hemangioma,Medium,MONDO_0003241
Other neurological diseases,respiratory system disease,Medium,EFO_0000684
Other neurological diseases,digestive system disease,Medium,EFO_0000405
Other and unspecified paralytic syndromes,cataract,Medium,EFO_0001059
Other and unspecified paralytic syndromes,anthrax infection,Medium,EFO_0000778
"Paraplegia, diplegia of upper limbs",diplegia of upper limb,Medium,MONDO_0004618
"Paraplegia, diplegia of upper limbs",Upper limb undergrowth,Medium,HP_0009824
Parkinson's disease,Parkinson's disease,Good,EFO_0002508
Parkinson's disease (more controls excluded),Parkinson's disease,Medium,EFO_0002508
Parkinson's disease (more controls excluded),disease,Medium,EFO_0000408
Secondary parkinsonism+Parkinsonism in other disease,secondary Parkinson disease,Good,EFO_1001175
Lesion of plantar nerve,lesion of sciatic nerve,Medium,MONDO_0001543
Lesion of plantar nerve,lumbosacral plexus lesion,Medium,MONDO_0001829
Polyneuropathies and other disorders of the peripheral nervous system,N/A,Did not map,N/A
"Other and unspecified polyneuropathies, also in other diseases",respiratory system disease,Medium,EFO_0000684
"Other and unspecified polyneuropathies, also in other diseases",cardiovascular disease,Medium,EFO_0000319
Postprocedural disorders of nervous system,peripheral nervous system disease,Good,EFO_0009387
Postzoster neuralgia,neuralgia,Good,EFO_0009430
Lesion of radial nerve,radial nerve lesion,Good,EFO_1001143
"Other and unspecified nerve root and plexus disorders, also in other diseases",N/A,Did not map,N/A
Lesion of sciatic nerve,lesion of sciatic nerve,Good,MONDO_0001543
Sleep apnoea,sleep,Medium,GO_0030431
Sleep apnoea,Apnea,Medium,HP_0002104
Other sleepdisorders,Other metabolic disease,Medium,Orphanet_91088
Other sleepdisorders,Other genetic epidermal disease,Medium,Orphanet_79360
Other diseases of spinal cord,spinal cord disease,Good,EFO_0009488
Status epilepticus,status epilepticus,Good,EFO_0008526
Tarsal tunnel syndrome,tarsal tunnel syndrome,Good,EFO_1001208
Transient ischemic attack,transient ischemic attack,Good,EFO_0003764
Trigeminal neuralgia,trigeminal neuralgia,Good,EFO_1001219
Other and unspecified trigeminal disorders,glaucoma,Medium,EFO_0000516
Other and unspecified trigeminal disorders,schizophrenia,Medium,EFO_0000692
Lesion of ulnar nerve,ulnar neuropathy,Good,EFO_1001224
Vascular syndromes of brain in cerebrovascular disorders,cerebrovascular disorder,Good,EFO_0003763
Extrapyramidal and movement disorders,extrapyramidal and movement disease,Good,MONDO_0001815
Other extrapyramidal and movement disorders+ in other diseases,extrapyramidal and movement disease,Good,MONDO_0001815
Any gastric operation,ileostomy,Medium,EFO_0010681
Any gastric operation,ophthalmic procedure,Medium,EFO_0010722
Generalized epilepsy,generalised epilepsy,Good,EFO_0005917
Gestational diabetes (for exclusion),gestational diabetes,Good,EFO_0004593
"Generalized epilepsy, mode (most common among epilepsy diagnosis)",epilepsy,Medium,EFO_0000474
"Generalized epilepsy, mode (most common among epilepsy diagnosis)",generalised epilepsy,Medium,EFO_0005917
"Generalized epilepsy, strict edfinition",generalised epilepsy,Medium,EFO_0005917
"Generalized epilepsy, strict edfinition",epilepsy,Medium,EFO_0000474
Giant cell arteritis with polymyalgia rheumatica,polymyalgia rheumatica,Medium,EFO_0008518
Giant cell arteritis with polymyalgia rheumatica,temporal arteritis,Medium,EFO_1001209
Glomerulonephritis,glomerulonephritis (disease),Good,MONDO_0002462
"Gout, FINNGEN",gout,Good,EFO_0004274
Idiopathic gout,gout,Medium,EFO_0004274
Idiopathic gout,idiopathic cardiomyopathy,Medium,EFO_0000767
"Gout, unspecified",gout,Good,EFO_0004274
"Gout, strict definition",gout,Good,EFO_0004274
Allergic conjunctivitis,allergic conjunctivitis,Good,EFO_0007141
Amblyopia ex anopsia,amblyopia (disease),Medium,MONDO_0001020
Amblyopia ex anopsia,Gossypium tomentosum,Medium,NCBITaxon_34277
Age-related macular degeneration (whether dry or wet),wet macular degeneration,Good,EFO_0004683
Anisometropia and aniseikonia,N/A,Did not map,N/A
Anomalies of pupillary function,Abnormal pupillary function,Medium,HP_0007686
Anomalies of pupillary function,Abnormality of the larynx,Medium,HP_0001600
Aphakia,Congenital primary aphakia,Good,Orphanet_83461
Astigmatism,Astigmatism,Good,HP_0000483
Background retinopathy and retinal vascular changes,retinopathy,Good,EFO_0003839
Other disorders of binocular movement,movement disorder,Medium,EFO_0004280
Other disorders of binocular movement,glaucoma,Medium,EFO_0000516
Other disorders of binocular vision,binocular vision disease,Good,EFO_0009535
Blepharochalasis,Ascher syndrome,Good,Orphanet_1253
Visual impairment including blindness (binocular or monocular),blindness (disorder),Medium,MONDO_0001941
Visual impairment including blindness (binocular or monocular),Cerebral visual impairment,Medium,HP_0100704
Other cataract,cataract,Good,EFO_0001059
Senile cataract,senile cataract,Good,MONDO_0004847
Central retinal artery occlusion,retinal artery occlusion,Good,EFO_1001154
Chalazion,meibomian cyst,Good,EFO_0007363
Chorioretinal inflammation,posterior uveitis,Good,EFO_1001119
Other disorders of choroid,glaucoma,Medium,EFO_0000516
Other disorders of choroid,psoriasis,Medium,EFO_0000676
Disorders of choroid and retina,Coloboma of choroid and retina,Medium,Orphanet_98942
Disorders of choroid and retina,Gyrate atrophy of choroid and retina,Medium,Orphanet_414
conjunctival haemorrhage,postpartum hemorrhage,Good,EFO_0009579
conjunctival degenerations and deposits,N/A,Did not map,N/A
Disorders of conjunctiva,conjunctiva,Medium,UBERON_0001811
Disorders of conjunctiva,Conjunctival tumor,Medium,Orphanet_98616
Conjunctivitis,conjunctivitis,Good,EFO_0009450
"Conjunctivitis (acute, non atopic)",allergic conjunctivitis,Good,EFO_0007141
Atopic conjunctivitis,allergic conjunctivitis,Good,EFO_0007141
Chronic conjunctivitis,chronic conjunctivitis,Good,MONDO_0002314
Other conjunctival vascular disorders and cysts,N/A,Did not map,N/A
Convergence insufficiency and excess,N/A,Did not map,N/A
Convergent concomitant strabismus,Strabismus,Medium,HP_0000486
Convergent concomitant strabismus,Essential strabismus,Medium,Orphanet_98682
Keratoconus,OBSOLETE: Keratoconus,Good,Orphanet_156071
Other and unspecified corneal deformities and disorders,N/A,Did not map,N/A
Other disorders of cornea,glaucoma,Good,EFO_0000516
Corneal scars and opacities,N/A,Did not map,N/A
Corneal ulcer,chronic ulcer of skin,Good,EFO_0007066
Diplopia,Diplopia,Good,HP_0000651
Divergent concomitant strabismus,Strabismus,Medium,HP_0000486
Divergent concomitant strabismus,Essential strabismus,Medium,Orphanet_98682
Ectropion of eyelid,ectropion (disease),Good,MONDO_0002043
Entropion and trichiasis of eyelid,N/A,Did not map,N/A
Epiphora,Epiphora,Good,HP_0009926
Episcleritis,Episcleritis,Good,HP_0100534
Exophthalmic conditions,Graves disease,Good,EFO_0004237
Diseases of the eye and adnexa,eye adnexa disease,Good,EFO_0009546
Other specified and unspecified disorders of eye and adnexa,N/A,Did not map,N/A
Other disorders of eyelid,glaucoma,Medium,EFO_0000516
Other disorders of eyelid,psoriasis,Medium,EFO_0000676
Other inflammation of eyelid,blepharitis,Medium,EFO_0009536
Other inflammation of eyelid,hypopigmentation of eyelid,Medium,EFO_1000713
Disorders of eyelid in diseases classified elsewhere,respiratory system disease,Medium,EFO_0000684
Disorders of eyelid in diseases classified elsewhere,cardiomyopathy,Medium,EFO_0000318
Other disorders of eye and adnexa,eye adnexa disease,Good,EFO_0009546
Primary angle-closure glaucoma,primary angle closure glaucoma,Good,EFO_1001506
Other and unspecified glaucoma,glaucoma,Medium,EFO_0000516
Other and unspecified glaucoma,anthrax infection,Medium,EFO_0000778
Glaucoma,glaucoma,Good,EFO_0000516
Use of antiglaucoma preparations and miotics,Antiglaucoma preparations and miotics use measurement,Good,EFO_0009944
Normotensive glaucoma,glaucoma,Good,EFO_0000516
Glucoma-related operations,"number of operations, self-reported",Good,EFO_0009802
"Primary open-angle glaucoma, strict",open-angle glaucoma,Good,EFO_0004190
"Glaucoma, exfoliation",exfoliation syndrome,Medium,EFO_0004235
"Glaucoma, exfoliation",glaucoma,Medium,EFO_0000516
Primary open-angle glaucoma,open-angle glaucoma,Good,EFO_0004190
Glaucoma secondary to other eye disorders,glaucoma,Good,EFO_0000516
Glaucoma suspect,glaucoma,Good,EFO_0000516
Disorders of globe,eyeball of camera-type eye,Medium,UBERON_0010230
Disorders of globe,Disorders of vitamin D metabolism,Medium,Orphanet_289098
Hereditary retinal dystrophy,Inherited retinal disorder,Good,Orphanet_71862
Herpesviral keratitis and keratoconjunctivitis,N/A,Did not map,N/A
Heterophoria,N/A,Did not map,N/A
Hordeolum and other deep inflammation of eyelid,N/A,Did not map,N/A
Hypermetropia,Hypermetropia,Medium,HP_0000540
Hypermetropia,hyperopia,Medium,MONDO_0004891
Intermittent heterotropia,Intermittent hydrarthrosis,Medium,Orphanet_329967
Intermittent heterotropia,Tetany,Medium,HP_0001281
Acute and subacute iridocyclitis,bacterial endocarditis,Good,EFO_1000830
