	term	label	source	quality	action
Alzheimer disease (more controls excluded)	http://purl.obolibrary.org/obo/MONDO_0100087	familial Alzheimer disease	OLS API EFO lookup	fuzzy	check if valid
Alzheimer disease, including avohilmo	http://purl.obolibrary.org/obo/MONDO_0100087	familial Alzheimer disease	OLS API EFO lookup	fuzzy	check if valid
Anoxic brain damage	http://www.ebi.ac.uk/efo/EFO_0004277	brain infarction	OLS API EFO lookup	fuzzy	check if valid
Circumscribed brain atrophy	http://purl.obolibrary.org/obo/HP_0012444	Brain atrophy	OLS API EFO lookup	fuzzy	check if valid
Atypical facial pain	http://www.orpha.net/ORDO/Orphanet_398147	Persistent idiopathic facial pain	OLS API ORDO exact lookup	match	check if in OT
Autonomic disorders	http://purl.obolibrary.org/obo/MONDO_0001300	autonomic neuropathy	OLS API EFO lookup	fuzzy	check if valid
Other degenarative diseases of the basal ganglia	http://purl.obolibrary.org/obo/HP_0002134	Abnormality of the basal ganglia	OLS API EFO lookup	fuzzy	check if valid
Bell's palsy	http://www.ebi.ac.uk/efo/EFO_0007167	Bell's palsy	Zooma API lookup	match	
Benign intracranial hypertension	http://www.ebi.ac.uk/efo/EFO_1001132	pseudotumor cerebri	EFO OBO	match	
Brachial plexus disorders	http://www.ebi.ac.uk/efo/EFO_1000844	brachial plexus neuropathy	OLS API EFO lookup	fuzzy	check if valid
Carpal tunnel syndrome	http://www.ebi.ac.uk/efo/EFO_0004143	carpal tunnel syndrome	EFO OBO	match	
Cauda equina syndrome	http://www.ebi.ac.uk/efo/EFO_0007196	Cauda equina syndrome	EFO OBO	match	
Causalgia	http://www.ebi.ac.uk/efo/EFO_1000854	causalgia	EFO OBO	match	
Cerebral cysts	http://www.ebi.ac.uk/efo/EFO_1001858	Tarlov Cysts	OLS API EFO lookup	fuzzy	check if valid
Cervical root disorders	http://www.ebi.ac.uk/efo/EFO_1001163	root caries	OLS API EFO lookup	fuzzy	check if valid
Intracranial and intraspinal abscess and granuloma					
Other disorders of central nervous system	http://www.ebi.ac.uk/efo/EFO_1001363	Lupus Vasculitis, Central Nervous System	OLS API EFO lookup	fuzzy	check if valid
Cerebral palsy	http://www.ebi.ac.uk/efo/EFO_1000632	cerebral palsy	EFO OBO	match	
Cerebral palsy and other paralytic syndromes	http://www.ebi.ac.uk/efo/EFO_0003783	progressive bulbar palsy	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified degenerative diseases of nervous system					
Demyelenating diseases of the central nervous system	http://www.orpha.net/ORDO/Orphanet_140989	Primary central nervous system vasculitis	OLS API EFO lookup	fuzzy	check if valid
Diabethic neuropathy	http://www.ebi.ac.uk/efo/EFO_0004149	neuropathy	OLS API EFO lookup	fuzzy	check if valid
Disorders of brain, other and unspecified	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Disorders of other and unspecified cranial nerves	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Other acute disseminated demyelination	http://www.ebi.ac.uk/efo/EFO_0007130	acute disseminated encephalomyelitis	OLS API EFO lookup	fuzzy	check if valid
Drug-induced polyneuropathy	http://www.ebi.ac.uk/efo/EFO_0009562	polyneuropathy	OLS API EFO lookup	fuzzy	check if valid
Dystonia	http://purl.obolibrary.org/obo/MONDO_0003441	dystonic disorder	EFO OBO	match	
Encephalopathy	http://www.ebi.ac.uk/efo/EFO_0005774	brain disease	EFO OBO	match	
Other encephalitis	http://www.ebi.ac.uk/efo/EFO_0007495	St. Louis encephalitis	OLS API EFO lookup	fuzzy	check if valid
Episodal and paroxysmal disorders					
Epilepsy	http://www.ebi.ac.uk/efo/EFO_0000474	epilepsy	EFO OBO	match	
Other facial nerve disorders	http://www.ebi.ac.uk/efo/EFO_0009380	facial neuralgia	OLS API EFO lookup	fuzzy	check if valid
Lesion of lateral popliteal nerve					
Lesion of femoral nerve	http://www.ebi.ac.uk/efo/EFO_1000936	femoral neuropathy	OLS API EFO lookup	fuzzy	check if valid
Guillain-Barre syndrome	http://www.ebi.ac.uk/efo/EFO_0007292	Guillain-Barre syndrome	OLS API EFO lookup	match	
Communicating hydrocephalus	http://purl.obolibrary.org/obo/MONDO_0002045	communicating hydrocephalus	EFO OBO	match	
Normal-pressure hydrocephalus	http://www.ebi.ac.uk/efo/EFO_1001065	normal pressure hydrocephalus	OLS API EFO lookup	fuzzy	check if valid
Obstructive hydrocephalus	http://purl.obolibrary.org/obo/MONDO_0002045	communicating hydrocephalus	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified hydrocephalus	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Other headache syndromes	http://www.ebi.ac.uk/efo/EFO_0009550	Other headache syndromes	Zooma API lookup	match	
Hemiplegia	http://www.ebi.ac.uk/efo/EFO_0009453	hemiplegia	EFO OBO	match	
Hereditary ataxia	http://www.ebi.ac.uk/efo/EFO_0009671	hereditary ataxia	EFO OBO	match	
Hereditary monor and sensory neuropathy					
Horner syndrome	http://www.orpha.net/ORDO/Orphanet_91413	Congenital Horner syndrome	OLS API EFO lookup	fuzzy	check if valid
Hydrocephalus	http://purl.obolibrary.org/obo/HP_0000238	Hydrocephalus	OLS API EFO lookup	match	
Intercostal neuropathy	http://www.ebi.ac.uk/efo/EFO_0004149	neuropathy	OLS API EFO lookup	fuzzy	check if valid
Lumbosacral root disorders, not elsewhere classified					
Other lesions of median nerve	http://www.ebi.ac.uk/efo/EFO_1000936	femoral neuropathy	OLS API EFO lookup	fuzzy	check if valid
Bacterial meningitis	http://www.ebi.ac.uk/efo/EFO_1000831	bacterial meningitis	EFO OBO	match	
Other meningitis	http://www.ebi.ac.uk/efo/EFO_1001114	pneumococcal meningitis	OLS API EFO lookup	fuzzy	check if valid
Meralgia paraesthetica	http://purl.obolibrary.org/obo/MONDO_0023757	meralgia paresthetica	OLS API EFO lookup	fuzzy	check if valid
Migraine	http://www.ebi.ac.uk/efo/EFO_0003821	migraine disorder	EFO OBO	match	
Migraine without aura	http://www.ebi.ac.uk/efo/EFO_0005296	migraine without aura	EFO OBO	match	
Migraine without aura, drug-induced	http://www.ebi.ac.uk/efo/EFO_0005296	migraine without aura	OLS API EFO lookup	fuzzy	check if valid
Migraine without aura and triptan purchases					
Migraine with aura	http://www.ebi.ac.uk/efo/EFO_0005295	migraine with aura	EFO OBO	match	
Migraine with aura, drug-induced	http://www.ebi.ac.uk/efo/EFO_0005295	migraine with aura	OLS API EFO lookup	fuzzy	check if valid
Migraine with aura and triptan purchases					
Other and unspecified mononeuropathies of lower limb	http://www.ebi.ac.uk/efo/EFO_0000389	cutaneous melanoma	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified mononeuropathies of upper limb	http://www.ebi.ac.uk/efo/EFO_0000389	cutaneous melanoma	OLS API EFO lookup	fuzzy	check if valid
Other and unsepcified mononeuropathies, also in other diseases					
Monoplegia					
MS-disease / Multiple Sclerosis	http://www.ebi.ac.uk/efo/EFO_0003885	multiple sclerosis	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified primary disorders of muscles	http://www.ebi.ac.uk/efo/EFO_0000516	glaucoma	OLS API EFO lookup	fuzzy	check if valid
Muscular dystrophy	http://www.orpha.net/ORDO/Orphanet_98473	Muscular dystrophy	EFO OBO	match	
Myasthenia gravis	http://www.ebi.ac.uk/efo/EFO_0004991	Myasthenia gravis	EFO OBO	match	
Disorders of myonerural junction and muscle in diseases in classifeid elsewhere	http://www.ebi.ac.uk/efo/EFO_0010686	muscle strain	OLS API EFO lookup	fuzzy	check if valid
Diseases of the myoneural junction and muscle	http://www.ebi.ac.uk/efo/EFO_0010686	muscle strain	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified myopathies	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Mytonic disorders	http://www.ebi.ac.uk/efo/EFO_0009692	voice disorders	OLS API EFO lookup	fuzzy	check if valid
Narcolepsy and cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	narcolepsy with cataplexy	OLS API EFO lookup	fuzzy	check if valid
Nerve, nerve root and plexus disorders					
Systemic atrophies primarly affecting the central nervous system	http://purl.obolibrary.org/obo/HP_0007367	Atrophy/Degeneration affecting the central nervous system	OLS API EFO lookup	fuzzy	check if valid
Inflammatory diseases of the central nervous system	http://www.orpha.net/ORDO/Orphanet_140989	Primary central nervous system vasculitis	OLS API EFO lookup	fuzzy	check if valid
Neurological diseases	http://www.orpha.net/ORDO/Orphanet_137754	Neurological conditions associated with aminoacylase 1 deficiency	OLS API EFO lookup	fuzzy	check if valid
Other degenerative diseases of the nervous system	http://www.ebi.ac.uk/efo/EFO_0005772	neurodegenerative disease	OLS API EFO lookup	fuzzy	check if valid
Other disorders of nervous system	http://www.ebi.ac.uk/efo/EFO_0009387	peripheral nervous system disease	OLS API EFO lookup	fuzzy	check if valid
Other demyelinating diseases of the central nervous system	http://www.ebi.ac.uk/efo/EFO_1000870	CNS demyelinating autoimmune disease	OLS API EFO lookup	fuzzy	check if valid
Other neurological diseases	http://www.orpha.net/ORDO/Orphanet_137754	Neurological conditions associated with aminoacylase 1 deficiency	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified paralytic syndromes	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Paraplegia, diplegia of upper limbs	http://purl.obolibrary.org/obo/MONDO_0004618	diplegia of upper limb	OLS API EFO lookup	fuzzy	check if valid
Parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	Parkinson's disease	Zooma API lookup	match	
Parkinson's disease (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0002508	Parkinson's disease	OLS API EFO lookup	fuzzy	check if valid
Parkinson's disease, including avohilmo	http://www.ebi.ac.uk/efo/EFO_0002508	Parkinson's disease	OLS API EFO lookup	fuzzy	check if valid
Secondary parkinsonism+Parkinsonism in other disease	http://purl.obolibrary.org/obo/HP_0001300	Parkinsonism	OLS API EFO lookup	fuzzy	check if valid
Lesion of plantar nerve	http://www.ebi.ac.uk/efo/EFO_1001143	radial nerve lesion	OLS API EFO lookup	fuzzy	check if valid
Polyneuropathies and other disorders of the peripheral nervous system	http://www.ebi.ac.uk/efo/EFO_1001115	POEMS syndrome	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified polyneuropathies, also in other diseases					
Postprocedural disorders of nervous system	http://www.ebi.ac.uk/efo/EFO_0009387	peripheral nervous system disease	OLS API EFO lookup	fuzzy	check if valid
Postzoster neuralgia	http://www.ebi.ac.uk/efo/EFO_0009430	neuralgia	OLS API EFO lookup	fuzzy	check if valid
Lesion of radial nerve	http://www.ebi.ac.uk/efo/EFO_1001143	radial nerve lesion	EFO OBO	match	
Other and unspecified nerve root and plexus disorders, also in other diseases					
Lesion of sciatic nerve	http://purl.obolibrary.org/obo/MONDO_0001543	lesion of sciatic nerve	EFO OBO	match	
Sleep apnoea	http://www.ebi.ac.uk/efo/EFO_0003877	sleep apnoea	Zooma API lookup	match	
Sleep apnoea, including avohilmo	http://www.ebi.ac.uk/efo/EFO_0007462	REM sleep behavior disorder	OLS API EFO lookup	fuzzy	check if valid
Other sleepdisorders					
Other and unspecified spinal muscular atrophies	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Other diseases of spinal cord	http://www.ebi.ac.uk/efo/EFO_0009488	Other diseases of spinal cord	Zooma API lookup	match	
Status epilepticus	http://www.ebi.ac.uk/efo/EFO_0008526	status epilepticus	EFO OBO	match	
Tarsal tunnel syndrome	http://www.ebi.ac.uk/efo/EFO_1001208	tarsal tunnel syndrome	EFO OBO	match	
Tetraplegia	http://www.ebi.ac.uk/efo/EFO_0009684	quadriplegia	EFO OBO	match	
Transient ischemic attack	http://www.ebi.ac.uk/efo/EFO_0003764	transient ischemic attack	EFO OBO	match	
Trigeminal neuralgia	http://www.ebi.ac.uk/efo/EFO_1001219	trigeminal neuralgia	EFO OBO	match	
Other and unspecified trigeminal disorders	http://www.ebi.ac.uk/efo/EFO_0000516	glaucoma	OLS API EFO lookup	fuzzy	check if valid
Lesion of ulnar nerve	http://www.ebi.ac.uk/efo/EFO_1001224	ulnar neuropathy	OLS API EFO lookup	fuzzy	check if valid
Vascular syndromes of brain in cerebrovascular disorders	http://www.ebi.ac.uk/efo/EFO_0003763	cerebrovascular disorder	OLS API EFO lookup	fuzzy	check if valid
Extrapyramidal and movement disorders	http://purl.obolibrary.org/obo/MONDO_0001815	extrapyramidal and movement disease	OLS API EFO lookup	fuzzy	check if valid
Other extrapyramidal and movement disorders+ in other diseases	http://purl.obolibrary.org/obo/MONDO_0001815	extrapyramidal and movement disease	OLS API EFO lookup	fuzzy	check if valid
Any gastric operation					
Generalized epilepsy	http://www.ebi.ac.uk/efo/EFO_0005917	generalised epilepsy	EFO OBO	match	
Generalized skin eruption due to drugs and medicaments					
Gestational diabetes (for exclusion)	http://www.ebi.ac.uk/efo/EFO_0004593	gestational diabetes	OLS API EFO lookup	fuzzy	check if valid
Generalized epilepsy, mode (most common among epilepsy diagnosis)	http://www.ebi.ac.uk/efo/EFO_0000474	epilepsy	OLS API EFO lookup	fuzzy	check if valid
Generalized epilepsy, strict definition	http://www.ebi.ac.uk/efo/EFO_0000474	epilepsy	OLS API EFO lookup	fuzzy	check if valid
Giant cell arteritis with polymyalgia rheumatica	http://www.ebi.ac.uk/efo/EFO_1001209	temporal arteritis	OLS API EFO lookup	fuzzy	check if valid
Glomerulonephritis	http://purl.obolibrary.org/obo/MONDO_0002462	glomerulonephritis (disease)	EFO OBO	match	
Gout, FINNGEN	http://www.ebi.ac.uk/efo/EFO_0004274	gout	OLS API EFO lookup	fuzzy	check if valid
Idiopathic gout	http://www.ebi.ac.uk/efo/EFO_0004274	gout	OLS API EFO lookup	fuzzy	check if valid
Gout due to impairment of renal function	http://purl.obolibrary.org/obo/MONDO_0001343	impaired renal function disease	OLS API EFO lookup	fuzzy	check if valid
Gout, unspecified	http://www.ebi.ac.uk/efo/EFO_0004274	gout	OLS API EFO lookup	fuzzy	check if valid
Gout, strict definition	http://www.ebi.ac.uk/efo/EFO_0004274	gout	OLS API EFO lookup	fuzzy	check if valid
Allergic conjunctivitis	http://www.ebi.ac.uk/efo/EFO_0007141	allergic conjunctivitis	EFO OBO	match	
Amblyopia ex anopsia	http://purl.obolibrary.org/obo/MONDO_0001020	amblyopia (disease)	OLS API EFO lookup	fuzzy	check if valid
Age-related macular degeneration (whether dry or wet)	http://www.ebi.ac.uk/efo/EFO_0001365	age-related macular degeneration	OLS API EFO lookup	fuzzy	check if valid
Anisometropia and aniseikonia					
Anomalies of pupillary function	http://purl.obolibrary.org/obo/HP_0007686	Abnormal pupillary function	OLS API EFO lookup	fuzzy	check if valid
Aphakia	http://www.orpha.net/ORDO/Orphanet_83461	Congenital primary aphakia	OLS API EFO lookup	fuzzy	check if valid
Astigmatism	http://purl.obolibrary.org/obo/HP_0000483	astigmatism	Zooma API lookup	match	
Background retinopathy and retinal vascular changes	http://purl.obolibrary.org/obo/HP_0000580	Pigmentary retinopathy	OLS API EFO lookup	fuzzy	check if valid
Other disorders of binocular movement	http://www.ebi.ac.uk/efo/EFO_0009535	Other disorders of binocular movement	Zooma API lookup	match	
Other disorders of binocular vision	http://www.ebi.ac.uk/efo/EFO_0009535	binocular vision disease	OLS API EFO lookup	fuzzy	check if valid
Blepharochalasis	http://www.orpha.net/ORDO/Orphanet_1253	Ascher syndrome	OLS API EFO lookup	fuzzy	check if valid
Visual impairment including blindness (binocular or monocular)	http://purl.obolibrary.org/obo/HP_0100704	Cerebral visual impairment	OLS API EFO lookup	fuzzy	check if valid
Blindness, monocular	http://purl.obolibrary.org/obo/HP_0000618	Blindness	OLS API EFO lookup	fuzzy	check if valid
Bullous keratopathy	http://www.ebi.ac.uk/efo/EFO_0007187	bullous pemphigoid	OLS API EFO lookup	fuzzy	check if valid
Other cataract	http://www.ebi.ac.uk/efo/EFO_0001059	Other cataract	Zooma API lookup	match	
Senile cataract	http://purl.obolibrary.org/obo/MONDO_0004847	senile cataract	EFO OBO	match	
Central retinal artery occlusion	http://www.ebi.ac.uk/efo/EFO_1001154	retinal artery occlusion	OLS API EFO lookup	fuzzy	check if valid
Chalazion	http://www.ebi.ac.uk/efo/EFO_0007363	meibomian cyst	EFO OBO	match	
Chorioretinal inflammation	http://purl.obolibrary.org/obo/MP_0001845	inflammation	OLS API EFO lookup	fuzzy	check if valid
Other disorders of choroid	http://www.ebi.ac.uk/efo/EFO_1000866	choroid cancer	OLS API EFO lookup	fuzzy	check if valid
Disorders of choroid and retina	http://www.orpha.net/ORDO/Orphanet_98942	Coloboma of choroid and retina	OLS API EFO lookup	fuzzy	check if valid
conjunctival haemorrhage	http://www.ebi.ac.uk/efo/EFO_1000203	Conjunctival Disorder	OLS API EFO lookup	fuzzy	check if valid
Other specified and unspecified disorders of conjunctiva	http://www.ebi.ac.uk/efo/EFO_0000516	glaucoma	OLS API EFO lookup	fuzzy	check if valid
conjunctival degenerations and deposits					
Disorders of conjunctiva					
Conjunctivitis	http://www.ebi.ac.uk/efo/EFO_0009450	conjunctivitis	EFO OBO	match	
Conjunctivitis (acute, non atopic)	http://www.ebi.ac.uk/efo/EFO_0007141	allergic conjunctivitis	OLS API EFO lookup	fuzzy	check if valid
Atopic conjunctivitis	http://www.ebi.ac.uk/efo/EFO_0007141	allergic conjunctivitis	EFO OBO	match	
Chronic conjunctivitis	http://purl.obolibrary.org/obo/MONDO_0002314	chronic conjunctivitis	EFO OBO	match	
Other conjunctival vascular disorders and cysts	http://purl.obolibrary.org/obo/HP_0032072	Popliteal synovial cyst	OLS API EFO lookup	fuzzy	check if valid
